Date;Time;
15/01/1995;06:58:21;
15/01/1995;06:58:31;
15/01/1995;06:58:41;
15/01/1995;06:58:51;
15/01/1995;06:59:01;
15/01/1995;06:59:11;
15/01/1995;06:59:21;
15/01/1995;06:59:31;
15/01/1995;06:59:41;
15/01/1995;06:59:51;
15/01/1995;07:00:01;
15/01/1995;07:00:11;
15/01/1995;07:00:21;
15/01/1995;07:00:31;
15/01/1995;07:00:41;
15/01/1995;07:00:51;
15/01/1995;07:01:01;
15/01/1995;07:01:11;
15/01/1995;07:01:21;
15/01/1995;07:01:31;
15/01/1995;07:01:41;
15/01/1995;07:01:51;
15/01/1995;07:02:01;
15/01/1995;07:02:11;
15/01/1995;07:02:21;
15/01/1995;07:02:31;
15/01/1995;07:02:41;
15/01/1995;07:02:51;
15/01/1995;07:03:01;
15/01/1995;07:03:11;
15/01/1995;07:03:21;
15/01/1995;07:03:31;
15/01/1995;07:03:41;
15/01/1995;07:03:51;
15/01/1995;07:04:01;
15/01/1995;07:04:11;
15/01/1995;07:04:21;
15/01/1995;07:04:31;
15/01/1995;07:04:41;
15/01/1995;07:04:51;
15/01/1995;07:05:01;
15/01/1995;07:05:11;
15/01/1995;07:05:21;
15/01/1995;07:05:31;
15/01/1995;07:05:41;
15/01/1995;07:05:51;
15/01/1995;07:06:01;
15/01/1995;07:06:11;
15/01/1995;07:06:21;
15/01/1995;07:06:31;
15/01/1995;07:06:41;
15/01/1995;07:06:51;
15/01/1995;07:07:01;
15/01/1995;07:07:11;
15/01/1995;07:07:21;
15/01/1995;07:07:31;
15/01/1995;07:07:41;
15/01/1995;07:07:51;
15/01/1995;07:08:01;
15/01/1995;07:08:11;
15/01/1995;07:08:21;
15/01/1995;07:08:31;
15/01/1995;07:08:41;
15/01/1995;07:08:51;
15/01/1995;07:09:01;
15/01/1995;07:09:11;
15/01/1995;07:09:21;
15/01/1995;07:09:31;
15/01/1995;07:09:41;
15/01/1995;07:09:51;
15/01/1995;07:10:01;
15/01/1995;07:10:11;
15/01/1995;07:10:21;
15/01/1995;07:10:31;
15/01/1995;07:10:41;
15/01/1995;07:10:51;
15/01/1995;07:11:01;
15/01/1995;07:11:11;
15/01/1995;07:11:21;
15/01/1995;07:11:31;
15/01/1995;07:11:41;
15/01/1995;07:11:51;
15/01/1995;07:12:01;
15/01/1995;07:12:11;
15/01/1995;07:12:21;
15/01/1995;07:12:31;
15/01/1995;07:12:41;
15/01/1995;07:12:51;
15/01/1995;07:13:01;
15/01/1995;07:13:11;
15/01/1995;07:13:21;
15/01/1995;07:13:31;
15/01/1995;07:13:41;
15/01/1995;07:13:51;
15/01/1995;07:14:01;
15/01/1995;07:14:11;
