Date;Time;
15/01/1995;02:15:01;
15/01/1995;02:15:11;
15/01/1995;02:15:21;
15/01/1995;02:15:31;
15/01/1995;02:15:41;
15/01/1995;02:15:51;
15/01/1995;02:16:01;
15/01/1995;02:16:11;
15/01/1995;02:16:21;
15/01/1995;02:16:31;
15/01/1995;02:16:41;
15/01/1995;02:16:51;
15/01/1995;02:17:01;
15/01/1995;02:17:11;
15/01/1995;02:17:21;
15/01/1995;02:17:31;
15/01/1995;02:17:41;
15/01/1995;02:17:51;
15/01/1995;02:18:01;
15/01/1995;02:18:11;
15/01/1995;02:18:21;
15/01/1995;02:18:31;
15/01/1995;02:18:41;
15/01/1995;02:18:51;
15/01/1995;02:19:01;
15/01/1995;02:19:11;
15/01/1995;02:19:21;
15/01/1995;02:19:31;
15/01/1995;02:19:41;
15/01/1995;02:19:51;
15/01/1995;02:20:01;
15/01/1995;02:20:11;
15/01/1995;02:20:21;
15/01/1995;02:20:31;
15/01/1995;02:20:41;
15/01/1995;02:20:51;
15/01/1995;02:21:01;
15/01/1995;02:21:11;
15/01/1995;02:21:21;
15/01/1995;02:21:31;
15/01/1995;02:21:41;
15/01/1995;02:21:51;
15/01/1995;02:22:01;
15/01/1995;02:22:11;
15/01/1995;02:22:21;
15/01/1995;02:22:31;
15/01/1995;02:22:41;
15/01/1995;02:22:51;
15/01/1995;02:23:01;
15/01/1995;02:23:11;
15/01/1995;02:23:21;
15/01/1995;02:23:31;
15/01/1995;02:23:41;
15/01/1995;02:23:51;
15/01/1995;02:24:01;
15/01/1995;02:24:11;
15/01/1995;02:24:21;
15/01/1995;02:24:31;
15/01/1995;02:24:41;
15/01/1995;02:24:51;
15/01/1995;02:25:01;
15/01/1995;02:25:11;
15/01/1995;02:25:21;
15/01/1995;02:25:31;
15/01/1995;02:25:41;
15/01/1995;02:25:51;
15/01/1995;02:26:01;
15/01/1995;02:26:11;
15/01/1995;02:26:21;
15/01/1995;02:26:31;
15/01/1995;02:26:41;
15/01/1995;02:26:51;
15/01/1995;02:27:01;
15/01/1995;02:27:11;
15/01/1995;02:27:21;
15/01/1995;02:27:31;
15/01/1995;02:27:41;
15/01/1995;02:27:51;
15/01/1995;02:28:01;
15/01/1995;02:28:11;
15/01/1995;02:28:21;
15/01/1995;02:28:31;
15/01/1995;02:28:41;
15/01/1995;02:28:51;
15/01/1995;02:29:01;
15/01/1995;02:29:11;
15/01/1995;02:29:21;
15/01/1995;02:29:31;
15/01/1995;02:29:41;
15/01/1995;02:29:51;
15/01/1995;02:30:01;
15/01/1995;02:30:11;
15/01/1995;02:30:21;
15/01/1995;02:30:31;
15/01/1995;02:30:41;
15/01/1995;02:30:51;
15/01/1995;02:31:01;
15/01/1995;02:31:11;
15/01/1995;02:31:21;
15/01/1995;02:31:31;
15/01/1995;02:31:41;
15/01/1995;02:31:51;
15/01/1995;02:32:01;
15/01/1995;02:32:11;
15/01/1995;02:32:21;
15/01/1995;02:32:31;
15/01/1995;02:32:41;
15/01/1995;02:32:51;
15/01/1995;02:33:01;
15/01/1995;02:33:11;
15/01/1995;02:33:21;
15/01/1995;02:33:31;
15/01/1995;02:33:41;
15/01/1995;02:33:51;
15/01/1995;02:34:01;
15/01/1995;02:34:11;
15/01/1995;02:34:21;
15/01/1995;02:34:31;
15/01/1995;02:34:41;
15/01/1995;02:34:51;
15/01/1995;02:35:01;
