Date;Time;
15/01/1995;00:00:00;
15/01/1995;00:00:10;
15/01/1995;00:00:20;
15/01/1995;00:00:30;
15/01/1995;00:00:40;
15/01/1995;00:00:50;
15/01/1995;00:01:00;
15/01/1995;00:01:10;
15/01/1995;00:01:20;
15/01/1995;00:01:30;
15/01/1995;00:01:40;
15/01/1995;00:01:50;
15/01/1995;00:02:00;
15/01/1995;00:02:10;
15/01/1995;00:02:20;
15/01/1995;00:02:30;
15/01/1995;00:02:40;
15/01/1995;00:02:50;
15/01/1995;00:03:00;
15/01/1995;00:03:10;
15/01/1995;00:03:20;
15/01/1995;00:03:30;
15/01/1995;00:03:40;
15/01/1995;00:03:50;
15/01/1995;00:04:00;
15/01/1995;00:04:10;
15/01/1995;00:04:20;
15/01/1995;00:04:30;
15/01/1995;00:04:40;
15/01/1995;00:04:50;
15/01/1995;00:05:00;
15/01/1995;00:05:10;
15/01/1995;00:05:20;
15/01/1995;00:05:30;
15/01/1995;00:05:40;
15/01/1995;00:05:50;
15/01/1995;00:06:00;
15/01/1995;00:06:10;
15/01/1995;00:06:20;
15/01/1995;00:06:30;
15/01/1995;00:06:40;
15/01/1995;00:06:50;
15/01/1995;00:07:00;
15/01/1995;00:07:10;
15/01/1995;00:07:20;
15/01/1995;00:07:30;
15/01/1995;00:07:40;
15/01/1995;00:07:50;
15/01/1995;00:08:00;
15/01/1995;00:08:10;
15/01/1995;00:08:20;
15/01/1995;00:08:30;
15/01/1995;00:08:40;
15/01/1995;00:08:50;
15/01/1995;00:09:00;
15/01/1995;00:09:10;
15/01/1995;00:09:20;
15/01/1995;00:09:30;
15/01/1995;00:09:40;
15/01/1995;00:09:50;
15/01/1995;00:10:00;
15/01/1995;00:10:10;
15/01/1995;00:10:20;
15/01/1995;00:10:30;
15/01/1995;00:10:40;
15/01/1995;00:10:50;
15/01/1995;00:11:00;
15/01/1995;00:11:10;
15/01/1995;00:11:20;
15/01/1995;00:11:30;
15/01/1995;00:11:40;
15/01/1995;00:11:50;
15/01/1995;00:12:00;
15/01/1995;00:12:10;
15/01/1995;00:12:20;
15/01/1995;00:12:30;
15/01/1995;00:12:40;
15/01/1995;00:12:50;
15/01/1995;00:13:00;
15/01/1995;00:13:10;
15/01/1995;00:13:20;
15/01/1995;00:13:30;
15/01/1995;00:13:40;
15/01/1995;00:13:50;
15/01/1995;00:14:00;
15/01/1995;00:14:10;
15/01/1995;00:14:20;
15/01/1995;00:14:30;
15/01/1995;00:14:40;
15/01/1995;00:14:50;
15/01/1995;00:15:00;
